,Station Name,StartDate,Port Number,Cluster,No. Stations,No. Plugs per Hub,EndDate
0,PALO ALTO CA / HAMILTON #1,2011-07-29 20:17:00,2,HAMILTON,1,2.0,2011-08-02 12:26:00
1,PALO ALTO CA / HAMILTON #2,2011-08-02 12:26:00,2,HAMILTON,2,4.0,2011-09-02 20:42:00
2,PALO ALTO CA / HIGH #4,2011-09-02 20:42:00,2,HIGH,1,2.0,2011-10-10 15:23:00
3,PALO ALTO CA / BRYANT #2,2011-10-10 15:23:00,2,BRYANT,1,2.0,2011-10-13 12:49:00
4,PALO ALTO CA / BRYANT #1,2011-10-13 12:49:00,2,BRYANT,2,4.0,2014-09-24 08:26:00
5,PALO ALTO CA / MPL #4,2014-09-24 08:26:00,1,MPL,1,1.0,2014-09-24 08:36:00
6,PALO ALTO CA / MPL #6,2014-09-24 08:36:00,1,MPL,2,2.0,2014-09-24 08:42:00
7,PALO ALTO CA / MPL #2,2014-09-24 08:42:00,1,MPL,3,3.0,2014-09-27 15:54:00
8,PALO ALTO CA / MPL #1,2014-09-27 15:54:00,1,MPL,4,4.0,2014-09-28 10:45:00
9,PALO ALTO CA / MPL #5,2014-09-28 10:45:00,1,MPL,5,5.0,2014-10-05 09:50:00
10,PALO ALTO CA / MPL #3,2014-10-05 09:50:00,1,MPL,6,6.0,2015-01-02 08:43:00
11,PALO ALTO CA / RINCONADA LIB 2,2015-01-02 08:43:00,2,RINCONADA LIB,1,2.0,2015-01-02 10:01:00
12,PALO ALTO CA / RINCONADA LIB 1,2015-01-02 10:01:00,2,RINCONADA LIB,2,4.0,2015-01-02 17:08:00
13,PALO ALTO CA / RINCONADA LIB 3,2015-01-02 17:08:00,2,RINCONADA LIB,3,6.0,2015-07-29 13:59:00
14,PALO ALTO CA / WEBSTER #1,2015-07-29 13:59:00,2,WEBSTER,1,2.0,2015-07-29 15:51:00
15,PALO ALTO CA / HIGH #1,2015-07-29 15:51:00,2,HIGH,2,4.0,2015-07-29 16:53:00
16,PALO ALTO CA / WEBSTER #2,2015-07-29 16:53:00,2,WEBSTER,2,4.0,2016-01-14 10:28:00
17,PALO ALTO CA / TED THOMPSON #1,2016-01-14 10:28:00,2,TED THOMPSON,1,2.0,2016-01-14 11:19:00
18,PALO ALTO CA / CAMBRIDGE #1,2016-01-14 11:19:00,2,CAMBRIDGE,1,2.0,2016-01-14 11:57:00
19,PALO ALTO CA / BRYANT #3,2016-01-14 11:57:00,2,BRYANT,3,6.0,2016-01-14 13:22:00
20,PALO ALTO CA / WEBSTER #3,2016-01-14 13:22:00,2,WEBSTER,3,6.0,2016-01-14 13:45:00
21,PALO ALTO CA / CAMBRIDGE #2,2016-01-14 13:45:00,2,CAMBRIDGE,2,4.0,2017-01-06 14:53:00
22,PALO ALTO CA / HIGH #2,2017-01-06 14:53:00,2,HIGH,3,6.0,2017-01-06 18:40:00
23,PALO ALTO CA / HIGH #3,2017-01-06 18:40:00,2,HIGH,4,8.0,2017-07-05 14:55:00
24,PALO ALTO CA / BRYANT #6,2017-07-05 14:55:00,1,BRYANT,4,8.0,2017-07-05 14:57:00
25,PALO ALTO CA / BRYANT #4,2017-07-05 14:57:00,1,BRYANT,5,10.0,2017-07-05 15:12:00
26,PALO ALTO CA / BRYANT #5,2017-07-05 15:12:00,1,BRYANT,6,12.0,2018-03-21 08:15:00
27,PALO ALTO CA / TED THOMPSON #4,2018-03-21 08:15:00,2,TED THOMPSON,2,4.0,2018-03-21 11:23:00
28,PALO ALTO CA / TED THOMPSON #3,2018-03-21 11:23:00,2,TED THOMPSON,3,6.0,2018-03-21 18:24:00
29,PALO ALTO CA / CAMBRIDGE #5,2018-03-21 18:24:00,1,CAMBRIDGE,3,6.0,2018-03-22 15:26:00
30,PALO ALTO CA / TED THOMPSON #2,2018-03-22 15:26:00,1,TED THOMPSON,4,8.0,2018-03-22 18:24:00
31,PALO ALTO CA / CAMBRIDGE #3,2018-03-22 18:24:00,1,CAMBRIDGE,4,8.0,2018-03-23 08:56:00
32,PALO ALTO CA / CAMBRIDGE #4,2018-03-23 08:56:00,1,CAMBRIDGE,5,10.0,2020-09-06 11:22:00
33,PALO ALTO CA / BRYANT # 1,2020-09-06 11:22:00,1,BRYANT,7,13.0,2020-12-09 14:46:00
34,PALO ALTO CA / SHERMAN 6,2020-12-09 14:46:00,2,SHERMAN,1,2.0,2020-12-11 14:14:00
35,PALO ALTO CA / SHERMAN 7,2020-12-11 14:14:00,2,SHERMAN,2,4.0,2020-12-13 12:44:00
36,PALO ALTO CA / SHERMAN 9,2020-12-13 12:44:00,1,SHERMAN,3,5.0,2020-12-13 14:35:00
37,PALO ALTO CA / SHERMAN 8,2020-12-13 14:35:00,2,SHERMAN,4,7.0,2020-12-14 15:10:00
38,PALO ALTO CA / SHERMAN 4,2020-12-14 15:10:00,1,SHERMAN,5,9.0,2020-12-16 08:59:00
39,PALO ALTO CA / SHERMAN 1,2020-12-16 08:59:00,2,SHERMAN,6,11.0,2020-12-17 15:31:00
40,PALO ALTO CA / SHERMAN 3,2020-12-17 15:31:00,1,SHERMAN,7,13.0,2020-12-18 11:38:00
41,PALO ALTO CA / SHERMAN 14,2020-12-18 11:38:00,2,SHERMAN,8,14.0,2020-12-23 13:20:00
42,PALO ALTO CA / SHERMAN 2,2020-12-23 13:20:00,1,SHERMAN,9,15.0,2020-12-25 16:44:00
43,PALO ALTO CA / SHERMAN 5,2020-12-25 16:44:00,2,SHERMAN,10,16.0,2020-12-26 13:50:00
44,PALO ALTO CA / SHERMAN 15,2020-12-26 13:50:00,1,SHERMAN,11,17.0,2020-12-29 09:01:00
45,PALO ALTO CA / SHERMAN 11,2020-12-29 09:01:00,1,SHERMAN,12,18.0,2020-12-29 09:03:00
46,PALO ALTO CA / SHERMAN 17,2020-12-29 09:03:00,2,SHERMAN,13,19.0,2020-12-31 19:30:00
